VARIABLES = "x"	,"y"	,"u"
1.80	 0.93	 1.000016
1.80	 1.00	 1.000010
1.80	 1.07	 1.000009
1.80	 1.13	 1.000004
1.80	 1.20	 1.000003
1.80	 1.27	 1.000000
1.80	 1.33	 1.000000
1.80	 1.40	 1.000000
1.80	 1.47	 1.000000
1.80	 1.53	 1.000000
1.80	 1.60	 1.000000
1.80	 1.67	 1.000000
1.80	 1.73	 1.000000
1.80	 1.80	 1.000000
1.80	 1.87	 1.000000
1.80	 1.93	 1.000000
1.80	 2.00	 1.000000
1.87	 0.00	 1.000000
1.87	 0.07	 1.000000
1.87	 0.13	 1.000000
1.87	 0.20	 1.000000
1.87	 0.27	 1.000000
1.87	 0.33	 1.000001
1.87	 0.40	 1.000001
1.87	 0.47	 1.000002
1.87	 0.53	 1.000002
1.87	 0.60	 1.000003
1.87	 0.67	 1.000003
1.87	 0.73	 1.000003
1.87	 0.80	 1.000003
1.87	 0.87	 1.000003
1.87	 0.93	 1.000002
1.87	 1.00	 1.000002
1.87	 1.07	 1.000001
1.87	 1.13	 1.000001
1.87	 1.20	 1.000000
1.87	 1.27	 1.000000
1.87	 1.33	 1.000000
1.87	 1.40	 1.000000
1.87	 1.47	 1.000000
1.87	 1.53	 1.000000
1.87	 1.60	 1.000000
1.87	 1.67	 1.000000
1.87	 1.73	 1.000000
1.87	 1.80	 1.000000
1.87	 1.87	 1.000000
1.87	 1.93	 1.000000
1.87	 2.00	 1.000000
1.93	 0.00	 1.000000
1.93	 0.07	 1.000000
1.93	 0.13	 1.000000
1.93	 0.20	 1.000000
1.93	 0.27	 1.000000
1.93	 0.33	 1.000000
1.93	 0.40	 1.000000
1.93	 0.47	 1.000000
1.93	 0.53	 1.000000
1.93	 0.60	 1.000000
1.93	 0.67	 1.000000
1.93	 0.73	 1.000000
1.93	 0.80	 1.000000
1.93	 0.87	 1.000000
1.93	 0.93	 1.000000
1.93	 1.00	 1.000000
1.93	 1.07	 1.000000
1.93	 1.13	 1.000000
1.93	 1.20	 1.000000
1.93	 1.27	 1.000000
1.93	 1.33	 1.000000
1.93	 1.40	 1.000000
1.93	 1.47	 1.000000
1.93	 1.53	 1.000000
1.93	 1.60	 1.000000
1.93	 1.67	 1.000000
1.93	 1.73	 1.000000
